Time UTC,Conductivity (S/m),Density (kg/m3),Practical Salinity (psu),Pressure (decibar),Temperature (C),Turbidity (NTU),Chlorophyll (ug/l),Oxygen Concentration Corrected (ml/l)
2019-01-02T01,3.092335972,1022.553398,29.01704841,7.441091667,8.433408889,0.253836111,0.725791667,5.065702272
2019-01-02T02,3.093184806,1022.567282,29.03572401,6.921594444,8.4216425,0.277311111,0.865798611,5.073954991
2019-01-02T03,3.113497278,1022.655777,29.16801458,6.582791667,8.5167,0.232436111,3.0324375,4.881759886
2019-01-02T04,3.127879145,1022.692635,29.23428527,6.434870869,8.616538184,0.217511802,0.376492641,4.710761623
2019-01-02T05,3.066116528,1022.139364,28.54021109,6.369452778,8.686570278,0.541908333,0.180409722,4.539150095
2019-01-02T06,3.108233917,1022.487909,28.98285993,6.530430556,8.6759275,0.589688889,0.201305556,4.670386918
2019-01-02T07,3.119964528,1022.58338,29.10147663,7.194669444,8.67837,0.589494444,0.197847222,4.676453969
2019-01-02T08,3.122304832,1022.611691,29.13208021,7.88942516,8.67017023,0.434129408,0.18493474,4.684613206
2019-01-02T09,3.118509333,1022.605661,29.11542524,8.545180556,8.642482778,0.2269,0.174798611,4.761180584
2019-01-02T10,3.121441333,1022.640692,29.1555059,8.96625,8.630353056,0.235080556,0.228826389,4.829885727
2019-01-02T11,3.120269194,1022.617721,29.1285197,9.124677778,8.648346667,0.222891667,0.157472222,4.745036363
2019-01-02T12,3.12322852,1022.679042,29.19864229,9.032043877,8.60040822,0.478253263,0.154540405,4.909009443
2019-01-02T13,3.114404944,1022.660252,29.16338539,8.837372222,8.532551667,0.887563889,0.183409722,5.140193605
2019-01-02T14,3.082607417,1022.546075,28.98523939,8.672544444,8.348654167,0.837258333,0.221576389,5.529686564
2019-01-02T15,3.105920056,1022.665018,29.15379539,8.581230556,8.437590278,0.510505556,0.2035625,5.312329034
2019-01-02T16,3.126345182,1022.748933,29.27980234,8.585823382,8.541410442,0.621407942,0.195772008,5.087296233
2019-01-02T17,3.132971722,1022.7792,29.32338757,8.695877778,8.571092222,0.62005,0.1846875,5.053803396
2019-01-02T18,3.148280167,1022.827919,29.40231535,8.851858333,8.667076667,0.722433333,0.188222222,4.86692154
2019-01-02T19,3.12500625,1022.599052,29.11845846,9.026183333,8.7200325,0.461036111,0.161902778,4.728199938
2019-01-02T20,3.132737573,1022.677367,29.21366467,9.267706193,8.701060539,0.329552902,0.155755346,4.763880882
2019-01-02T21,3.125561778,1022.670373,29.19190715,9.455775,8.637538333,0.368191667,0.161340278,4.918431073
2019-01-02T22,3.111488972,1022.650656,29.14511647,9.403261111,8.5178825,0.719027778,0.203347222,5.341487464
2019-01-02T23,3.094528694,1022.655447,29.12042442,9.022236111,8.334805278,1.808213889,0.289125,5.726802636
2019-01-03T00,3.082633741,1022.636354,29.08113656,8.457506248,8.232848375,3.016028881,0.354352958,6.01967494
2019-01-03T01,3.07729875,1022.6495,29.08829701,7.815577778,8.157294167,3.274352778,0.375791667,6.304390319
2019-01-03T02,3.080214861,1022.650436,29.09780854,7.171486111,8.182868889,3.039663889,0.353458333,6.242613379
2019-01-03T03,3.068606389,1022.604927,29.03106002,6.676555556,8.117230278,4.193322222,0.399763889,6.419097329
2019-01-03T04,3.071414801,1022.60654,29.03925498,6.401055262,8.142973341,4.760330464,0.423771175,6.301599191
2019-01-03T05,3.0838605,1022.654572,29.11298976,6.331091667,8.210914167,2.567836111,0.385784722,6.154206138
2019-01-03T06,3.093415111,1022.479737,28.94750545,6.314183333,8.532242778,2.269297222,0.282375,5.292570414
2019-01-03T07,3.112599583,1022.551487,29.05681126,6.672055556,8.640493056,48.69898333,0.233284722,4.98885879
2019-01-03T08,3.12975504,1022.651964,29.19037671,7.444634824,8.69290697,3.197761733,0.195362399,4.864071469
2019-01-03T09,3.134351722,1022.692049,29.23701078,8.247730556,8.693450556,0.635738889,0.174027778,4.865354684
2019-01-03T10,3.132901611,1022.696886,29.23604225,8.92205,8.676161389,4.554902778,0.159777778,4.905746116
2019-01-03T11,3.124972667,1022.661404,29.18191292,9.354477778,8.642344167,0.401597222,0.179125,5.025092015
2019-01-03T12,3.124712413,1022.671233,29.19140023,9.415728964,8.627516245,0.891316301,0.162329908,5.072688747
2019-01-03T13,3.122242222,1022.660149,29.17574779,9.295672222,8.615613889,1.435244444,0.173569444,5.10424037
2019-01-03T14,3.097773667,1022.560137,29.02627361,9.075858333,8.489920833,1.759875,0.179069444,5.577106386
2019-01-03T15,3.108666639,1022.62518,29.11551273,8.92105,8.518575833,1.202508333,0.172756944,5.565676808
2019-01-03T16,3.132918717,1022.730853,29.27196328,8.842621494,8.632923355,0.912357678,0.144348792,5.272151641
2019-01-03T17,3.133743333,1022.718766,29.26081763,8.855638889,8.6566725,0.948366667,0.134368056,5.175858679
2019-01-03T18,3.173666472,1022.908515,29.53393906,8.95355,8.823346389,0.639952778,0.129666667,4.783880386
