Time UTC, Oxygen Concentration Corrected (ml/l), Oxygen Concentration Corrected QC Flag, Oxygen Concentration Corrected Count, Corrected Heading (mobile position/attitude sensor) (deg), Corrected Heading (mobile position/attitude sensor) QC Flag, Corrected Heading (mobile position/attitude sensor) Count, True Heading (mobile position/attitude sensor) (deg), True Heading (mobile position/attitude sensor) QC Flag, True Heading (mobile position/attitude sensor) Count
2012-10-28T17,3.46675,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T18,3.46575,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T19,3.46725,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T20,3.475,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T21,3.49175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T22,3.50475,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-28T23,3.5215,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T00,3.5065,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T01,3.4875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T02,3.5095,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T03,3.517,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T04,3.51725,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T05,3.56875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T06,3.58525,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T07,3.58775,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T08,3.62125,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T09,3.598,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T10,3.62325,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T11,3.61175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T12,3.56775,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-29T13,3.529,7.0,4.0,,9.0,0.0,,9.0,0.0
